headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
exactness,NOUN,B2,,,
exaggerate,NOUN,B2,,,
exaggeration,NOUN,B2,,,
exalt,VERB,B2,,,
examinee,NOUN,B2,Education,,
exceed,VERB,B2,,,
excel,VERB,B2,,,
exception,NOUN,B2,,,
exceptional,ADJ,B2,,,
exceptionally,ADV,B2,,,
excessive,ADJ,B2,,,
exclaim,VERB,B2,,,
exclamation mark,NOUN,B2,,,Language
exclude,VERB,B2,,,
exclusion,NOUN,B2,,,
exclusively,ADV,B2,,,
excursion,NOUN,B2,Hobbies and pastimes,,"Free time, entertainment"
execute,VERB,B2,,,
execution,NOUN,B2,,,
executive,ADJ,B2,,,
executive,NOUN,B2,Work and jobs,,Personal identification
exhaust,NOUN,B2,,,
exhausting,ADJ,B2,,,
exhaustion,NOUN,B2,,,
exhibit,VERB,B2,,,
exile,NOUN,B2,,,
existing,ADJ,B2,,,
exotic,ADJ,B2,,,
expansion,NOUN,B2,,,
expectation,NOUN,B2,,,
expected,ADJ,B2,,,
expedition,NOUN,B2,Travel and services vocab,,Travel
experiment,VERB,B2,,,
expert,ADJ,B2,,,
explode,VERB,B2,,,
exploit,VERB,B2,,,
explorer,NOUN,B2,Work and jobs,,Personal identification
explosive,ADJ,B2,,,
explosive,NOUN,B2,"News, lifestyles and current affairs",,
export,NOUN,B2,Work and jobs,,
export,VERB,B2,,,
expressive,ADJ,B2,,,
exquisite,ADJ,B2,,,
extension,NOUN,B2,,,
extensive,ADJ,B2,,,
external,ADJ,B2,,,
extract,NOUN,B2,,,
extract,VERB,B2,,,
extraordinarily,ADV,B2,,,
exultant,ADJ,B2,,,
eyebrow,NOUN,B2,,,Health and body care
eyelash,NOUN,B2,,,Health and body care
eyelid,NOUN,B2,,,Health and body care
fabric,NOUN,B2,Clothes,,Shopping
fabulous,ADJ,B2,,,
facilitate,VERB,B2,,,
facilities,NOUN,B2,,,
factor,NOUN,B2,,,
faculty,NOUN,B2,,,
faint,VERB,B2,,,
faith,NOUN,B2,,,
falter,VERB,B2,,,
fame,NOUN,B2,,,
familiarize/familiarise,VERB,B2,,,
fantastically,ADV,B2,,,
far,ADJ,B2,,,
fascinated,ADJ,B2,,,
fascination,NOUN,B2,,,
fat,NOUN,B2,,,
fatal,ADJ,B2,,,
fate,NOUN,B2,,,
father-in-law,NOUN,B2,,,Personal identification
faulty,ADJ,B2,,,
fear,VERB,B2,,,
fearsome,ADJ,B2,,,
feat,NOUN,B2,,,
feature,VERB,B2,,,
fed up,ADJ,B2,,,
federal,ADJ,B2,,,
feedback,NOUN,B2,,,
fellow,ADJ,B2,,,
female,NOUN,B2,,,Personal identification
ferryboat,NOUN,B2,Ways of travelling,,Travel
fiber/fibre,NOUN,B2,,,
fictional,ADJ,B2,,,
fierce,ADJ,B2,,,
fighting,NOUN,B2,,,
figurative,ADJ,B2,,,
file,VERB,B2,,,
filial,ADJ,B2,,,
finance,NOUN,B2,,,Services
financially,ADV,B2,,,
fine,ADV,B2,,,
fine,VERB,B2,,,
finely,ADV,B2,,,
fingernail,NOUN,B2,,,Health and body care
fire,VERB,B2,,,
fire brigade,NOUN,B2,,,Personal identification
firearm,NOUN,B2,Objects and rooms,,
fireplace,NOUN,B2,Objects and rooms,,"House and home, environment"
firmness,NOUN,B2,,,
first language,NOUN,B2,,,Language
first person,NOUN,B2,,,Personal identification
firstly,ADV,B2,,,
fiscal,ADJ,B2,,,
fit,NOUN,B2,,,
fixed,ADJ,B2,,,
flame,NOUN,B2,,,
flap,VERB,B2,,,
flash,NOUN,B2,,,
flash,VERB,B2,,,
flat,ADV,B2,,,
flaw,NOUN,B2,,,
flawless,ADJ,B2,,,
flax,NOUN,B2,,,
flee,VERB,B2,,,
fleet,NOUN,B2,"News, lifestyles and current affairs",,
flesh,NOUN,B2,,,
flexibility,NOUN,B2,,,
flexible,ADJ,B2,,,
flexibly,ADV,B2,,,
flip,VERB,B2,,,
fluency,NOUN,B2,,,
fluid,ADJ,B2,,,
flutter,NOUN,B2,,,
focus,NOUN,B2,,,
follower,NOUN,B2,,,
following,SCONJ,B2,,,
folly,NOUN,B2,,,
fondly,ADV,B2,,,
foolishly,ADV,B2,,,
footnote,NOUN,B2,Books and literature,,
force,VERB,B2,,,
forcefully,ADV,B2,,,
foreman,NOUN,B2,Work and jobs,,Personal identification
foresee,VERB,B2,,,
forestry,NOUN,B2,,,
formation,NOUN,B2,,,
formerly,ADV,B2,,,
formidable,ADJ,B2,,,
forthcoming,ADJ,B2,,,
foul,ADJ,B2,,,
found,VERB,B2,,,
fox,NOUN,B2,,,
fragrance,NOUN,B2,,,
frame,VERB,B2,,,
frankly,ADV,B2,,,
frantically,ADV,B2,,,
fraud,NOUN,B2,,,
freak,VERB,B2,,,
free,VERB,B2,,,
friendly,ADJ,B2,,,
frigate,NOUN,B2,Education,,
frontier,NOUN,B2,Nationalities and countries,,
frugal,ADJ,B2,,,
fulfill/fulfil,VERB,B2,,,
fume,NOUN,B2,,,
functional,ADJ,B2,,,
functionality,NOUN,B2,,,
fundamental,ADJ,B2,,,
funk,NOUN,B2,,,
funky,ADJ,B2,,,
furious,ADJ,B2,,,
furiously,ADV,B2,,,
furor/furore,NOUN,B2,,,
gaiety,NOUN,B2,,,
gambling,NOUN,B2,,,
gang,NOUN,B2,,,Personal identification
gangster,NOUN,B2,"News, lifestyles and current affairs",,
gardener,NOUN,B2,Work and jobs,,Personal identification
gasp,NOUN,B2,,,
gateway,NOUN,B2,Objects and rooms,,"House and home, environment"
gaudy,ADJ,B2,,,
gaze,NOUN,B2,,,
gear,NOUN,B2,,,
generalization/generalisation,NOUN,B2,,,
generalize/generalise,VERB,B2,,,
generosity,NOUN,B2,,,
generously,ADV,B2,,,
genius,NOUN,B2,,,
genre,NOUN,B2,Arts,,"Free time, entertainment"
gently,ADV,B2,,,
genuine,ADJ,B2,,,
genuinely,ADV,B2,,,
geographic,ADJ,B2,,,
germ,NOUN,B2,,,
getaway,NOUN,B2,,,
ghetto,NOUN,B2,Education,,
giveaway,NOUN,B2,,,
glacis,NOUN,B2,,,
glamorous/glamourous,ADJ,B2,,,
glare,NOUN,B2,,,
gleam,NOUN,B2,,,
glee,NOUN,B2,,,
global warming,NOUN,B2,,,
globally,ADV,B2,,,
glocal,ADJ,B2,,,
gloomy,ADJ,B2,,,
glorify,VERB,B2,,,
glow,NOUN,B2,,,
goat,NOUN,B2,,,
god,NOUN,B2,Books and literature,,
godly,ADJ,B2,,,
good,NOUN,B2,,,
goodwill,NOUN,B2,,,
gook,NOUN,B2,Idiomatic expressions,,
gorge,NOUN,B2,,,
gossip,VERB,B2,,,
governmental,ADJ,B2,,,
gracefulness,NOUN,B2,,,
grade,VERB,B2,,,
gradual,ADJ,B2,,,
grain,NOUN,B2,Food and drink,,Food and drink
grand,ADJ,B2,,,
graphically,ADV,B2,,,
grasp,NOUN,B2,,,
gravestone,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
gravitation,NOUN,B2,,,
greatness,NOUN,B2,,,
grief,NOUN,B2,,,
grieve,VERB,B2,,,
grim,ADJ,B2,,,
grin,NOUN,B2,,,
grip,NOUN,B2,,,
grip,VERB,B2,,,
gross,ADJ,B2,,,
growing,ADJ,B2,,,
grown-up,ADJ,B2,,,
grown-up,NOUN,B2,,,
guarantee,VERB,B2,,,
guard,VERB,B2,,,
guerrilla,NOUN,B2,"News, lifestyles and current affairs",,
guideline,NOUN,B2,"News, lifestyles and current affairs",,
gulp,NOUN,B2,,,
gum,NOUN,B2,,,Food and drink
gunshot,NOUN,B2,,,
guts,NOUN,B2,,,Food and drink
gymnastic,ADJ,B2,,,
habitant,NOUN,B2,Personal information,,
hail,VERB,B2,,,
hairy,ADJ,B2,,,
hammer,VERB,B2,,,
handicap,NOUN,B2,,,
handicraft,NOUN,B2,,,
handout,NOUN,B2,,,
handrail,NOUN,B2,Objects and rooms,,
hang,NOUN,B2,,,
hard drive,NOUN,B2,,,
hardware,NOUN,B2,,,
harm,NOUN,B2,,,
harmless,ADJ,B2,,,
harrow,NOUN,B2,,,
haste,NOUN,B2,,,
hastily,ADV,B2,,,
hatching,NOUN,B2,Arts,,"Free time, entertainment"
haunt,VERB,B2,,,
haunting,ADJ,B2,,,
hay,NOUN,B2,,,
hazardous,ADJ,B2,,,
headquarters,NOUN,B2,"Things in the town, shops and shopping",,Services
health care,NOUN,B2,,,
heap,NOUN,B2,,,
heap,VERB,B2,,,
heartbreaking,ADJ,B2,,,
heartwarming/heart-warming,ADJ,B2,,,
hedge,NOUN,B2,,,
helicopter,NOUN,B2,Ways of travelling,,Travel
hell,NOUN,B2,,,
helper,NOUN,B2,,,Personal identification
hemp,NOUN,B2,,,
herb,NOUN,B2,"Things in the town, shops and shopping",,
heritage,NOUN,B2,,,
hesitation,NOUN,B2,,,
highlight,NOUN,B2,,,
high-tech/hi-tech,ADJ,B2,,,
hijack,NOUN,B2,"News, lifestyles and current affairs",,
hijack,VERB,B2,,,
hilarious,ADJ,B2,,,
hint,NOUN,B2,,,
holder,NOUN,B2,,,
hollow,ADJ,B2,,,
holocaust,NOUN,B2,Books and literature,,
homeward,ADJ,B2,,,
hone,NOUN,B2,,,
honor/honour,VERB,B2,,,
honorable/honourable,ADJ,B2,,,
hood,NOUN,B2,,,
hook,NOUN,B2,,,
hook,VERB,B2,,,
hospice,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
hospitable,ADJ,B2,,,
hospitality,NOUN,B2,,,
hospitalize/hospitalise,VERB,B2,,,
hourly,ADJ,B2,,,
housekeeper,NOUN,B2,Family life,,Personal identification
housemaster,NOUN,B2,Family life,,Personal identification
housewife,NOUN,B2,Family life,,Personal identification
hover,VERB,B2,,,
hug,NOUN,B2,,,
hugely,ADV,B2,,,
human rights,NOUN,B2,,,
humane,ADJ,B2,,,
humanist,NOUN,B2,,,
humanize/humanise,VERB,B2,,,
humble,ADJ,B2,,,
humbug,NOUN,B2,,,
humiliate,VERB,B2,,,
humiliating,ADJ,B2,,,
humiliation,NOUN,B2,,,
hunting,NOUN,B2,,,
hush,VERB,B2,,,
hybrid,ADJ,B2,,,
hygiene,NOUN,B2,Education,,
hyperbole,NOUN,B2,,,
hyphen,NOUN,B2,,,
iceman,NOUN,B2,Work and jobs,,Personal identification
icon,NOUN,B2,,,
icy,ADJ,B2,,,
ideally,ADV,B2,,,
identical,ADJ,B2,,,
identification,NOUN,B2,,,
identify,VERB,B2,,,
ideology,NOUN,B2,,,
idiot,NOUN,B2,,,Personal identification
idle,ADJ,B2,,,
idolize/idolise,VERB,B2,,,
ignorance,NOUN,B2,,,
ignorant,ADJ,B2,,,
illustrate,VERB,B2,,,
illustration,NOUN,B2,,,
imagery,NOUN,B2,,,
imitation,NOUN,B2,,,
immerse,VERB,B2,,,
immigrant,NOUN,B2,,,Personal identification
immoral,ADJ,B2,,,
immortal,ADJ,B2,,,
immortality,NOUN,B2,,,
impartial,ADJ,B2,,,
impatiently,ADV,B2,,,
imperative,NOUN,B2,,,
impermanent,ADJ,B2,,,
implement,NOUN,B2,Objects and rooms,,
implement,VERB,B2,,,
implication,NOUN,B2,,,
imply,VERB,B2,,,
impolite,ADJ,B2,,,
impolitely,ADV,B2,,,
import,VERB,B2,,,
impose,VERB,B2,,,
impossibility,NOUN,B2,,,
impractical,ADJ,B2,,,
impressed,ADJ,B2,,,
impressionism,NOUN,B2,Arts,,"Free time, entertainment"
impressionist,NOUN,B2,Arts,,"Free time, entertainment"
imprison,VERB,B2,,,
imprisonment,NOUN,B2,,,
improbable,ADJ,B2,,,
improperly,ADV,B2,,,
improved,ADJ,B2,,,
impulse,NOUN,B2,,,
impulsive,ADJ,B2,,,
inaccurate,ADJ,B2,,,
inadequate,ADJ,B2,,,
inanimate,ADJ,B2,,,
inborn,ADJ,B2,,,
incense,NOUN,B2,,,
incentive,NOUN,B2,,,
inch,VERB,B2,,,
incur,VERB,B2,,,
incurable,ADJ,B2,,,
indebted,ADJ,B2,,,
indent,VERB,B2,,,
independently,ADV,B2,,,
indescribable,ADJ,B2,,,
index,NOUN,B2,,,
indifferent,ADJ,B2,,,
indignity,NOUN,B2,,,
indispensable,ADJ,B2,,,
individual,NOUN,B2,,,
indulge,VERB,B2,,,
indulgent,ADJ,B2,,,
industrialize/industrialise,VERB,B2,,,
ineffective,ADJ,B2,,,
inert,ADJ,B2,,,
inexperienced,ADJ,B2,,,
infant,NOUN,B2,,,
infect,VERB,B2,,,
infected,ADJ,B2,,,
infectious,ADJ,B2,,,
infer,VERB,B2,,,
inference,NOUN,B2,,,
inflammation,NOUN,B2,,,
inflammatory,ADJ,B2,,,
inflate,VERB,B2,,,
inflation,NOUN,B2,Work and jobs,,
influence,VERB,B2,,,
influential,ADJ,B2,,,
influenza,NOUN,B2,Travel and services vocab,,Health and body care
informal,ADJ,B2,,,
infringe,VERB,B2,,,
infringement,NOUN,B2,,,
inhabit,VERB,B2,,,
inherit,VERB,B2,,,
initial,ADJ,B2,,,
initiative,NOUN,B2,,,
injection,NOUN,B2,Travel and services vocab,,Health and body care
injured,ADJ,B2,,,
innate,ADJ,B2,,,
innocently,ADV,B2,,,
innovation,NOUN,B2,,,
innovative,ADJ,B2,,,
input,NOUN,B2,,,
inquire/enquire,VERB,B2,,,
inseparable,ADJ,B2,,,
inside,ADJ,B2,,,
inside,NOUN,B2,,,
inspect,VERB,B2,,,
inspector,NOUN,B2,Work and jobs,,Personal identification
inspirational,ADJ,B2,,,
instantly,ADV,B2,,,
instill/instil,VERB,B2,,,
instinct,NOUN,B2,,,
institution,NOUN,B2,,,
instruct,VERB,B2,,,
insufficient,ADJ,B2,,,
insult,NOUN,B2,,,
insult,VERB,B2,,,
integrate,VERB,B2,,,
intellectual,ADJ,B2,,,
intellectual,NOUN,B2,,,
intent,ADJ,B2,,,
interactive,ADJ,B2,,,
interfere,VERB,B2,,,
interior,NOUN,B2,,,
interpersonal,ADJ,B2,,,
interpret,VERB,B2,,,
interpretation,NOUN,B2,,,
interpreter,NOUN,B2,Work and jobs,,Personal identification
interruption,NOUN,B2,,,
intersection,NOUN,B2,,,
intimate,ADJ,B2,,,
intransitive,ADJ,B2,,,
intravenous,ADJ,B2,,,
intrude,VERB,B2,,,
intruder,NOUN,B2,,,
intrusion,NOUN,B2,,,
invariable,ADJ,B2,,,
invariably,ADV,B2,,,
inventor,NOUN,B2,,,Personal identification
inverted commas,NOUN,B2,,,
investigate,VERB,B2,,,
investigator,NOUN,B2,,,Personal identification
investment,NOUN,B2,Work and jobs,,
investor,NOUN,B2,,,Personal identification
invisible,ADJ,B2,,,
invitingly,ADV,B2,,,
invoke,VERB,B2,,,
involvement,NOUN,B2,,,
ironically,ADV,B2,,,
irrational,ADJ,B2,,,
irresistible,ADJ,B2,,,
irresistibly,ADV,B2,,,
irresponsible,ADJ,B2,,,
irritated,ADJ,B2,,,
irritating,ADJ,B2,,,
irritation,NOUN,B2,,,
islander,NOUN,B2,Nationalities and countries,,
issue,VERB,B2,,,
italicize/italicise,VERB,B2,Education,,
itch,VERB,B2,,,
jam,VERB,B2,,,
jaw,NOUN,B2,,,
jealously,ADV,B2,,,
jeopardize/jeopardise,VERB,B2,,,
jeweler/jeweller,NOUN,B2,Work and jobs,,Personal identification
jog,NOUN,B2,Leisure activities,,"Free time, entertainment"
joint,NOUN,B2,,,
journalism,NOUN,B2,,,
judo,NOUN,B2,Leisure activities,,"Free time, entertainment"
jump,NOUN,B2,Leisure activities,,"Free time, entertainment"
junk food,NOUN,B2,,,Food and drink
juror,NOUN,B2,,,
jury,NOUN,B2,,,Personal identification
justify,VERB,B2,,,
kangaroo,NOUN,B2,,,
karaoke,NOUN,B2,Hobbies and pastimes,,"Free time, entertainment"
keen,ADJ,B2,,,
keeper,NOUN,B2,Work and jobs,,Personal identification
kerosene,NOUN,B2,,,
keystroke,NOUN,B2,,,
kneel,VERB,B2,,,
knot,NOUN,B2,,,
knowingly,ADV,B2,,,
known,ADJ,B2,,,
label,NOUN,B2,Objects and rooms,,
laborer/labourer,NOUN,B2,Work and jobs,,Personal identification
lack,VERB,B2,,,
lame,ADJ,B2,,,
lance,NOUN,B2,,,
landing,NOUN,B2,,,
landlady,NOUN,B2,,,Personal identification
landslide,NOUN,B2,,,
lap,NOUN,B2,,,Health and body care
laptop,NOUN,B2,Objects and rooms,,Shopping
lark,NOUN,B2,,,
laser,NOUN,B2,,,
last minute,NOUN,B2,,,
lastly,ADV,B2,,,
last-minute,ADJ,B2,,,
later,ADJ,B2,,,
latter,ADJ,B2,,,
laundry,NOUN,B2,,,
lava,NOUN,B2,Education,,
lawmaker,NOUN,B2,Work and jobs,,Personal identification
lawn,NOUN,B2,,,
lawsuit,NOUN,B2,,,
layabout,NOUN,B2,,,
leaflet,NOUN,B2,,,
leak,NOUN,B2,,,
leak,VERB,B2,,,
lean,VERB,B2,,,
leap,NOUN,B2,,,
learning,NOUN,B2,,,Education
lease,NOUN,B2,Travel and services vocab,,Services
leash,NOUN,B2,,,
least,PRON,B2,,,
lecturer,NOUN,B2,Education,Work and jobs,Personal identification
leek,NOUN,B2,,,Food and drink
legend,NOUN,B2,Books and literature,,
legendary,ADJ,B2,,,
legislate,VERB,B2,,,
legislation,NOUN,B2,"News, lifestyles and current affairs",,
legislative,ADJ,B2,,,
legislator,NOUN,B2,Work and jobs,"News, lifestyles and current affairs",Personal identification
legislature,NOUN,B2,,,
legitimate,ADJ,B2,,,
leisurely,ADV,B2,,,
lengthen,VERB,B2,,,
lengthy,ADJ,B2,,,
leopard,NOUN,B2,,,
lest,conjunction,B2,,,
level,VERB,B2,,,
liberal,ADJ,B2,,,
lick,VERB,B2,,,
lid,NOUN,B2,Objects and rooms,,Shopping
lifeless,ADJ,B2,,,
lifetime,NOUN,B2,,,
lighten,VERB,B2,,,
lighting,NOUN,B2,,,
likewise,ADV,B2,,,
limb,NOUN,B2,,,
line,VERB,B2,,,
linen,NOUN,B2,Clothes,,Shopping
liner,NOUN,B2,Ways of travelling,,Travel
ling,NOUN,B2,,,
linger,VERB,B2,,,
list,VERB,B2,,,
listener,NOUN,B2,Media,,Personal identification
literal,ADJ,B2,,,
literally,ADV,B2,,,
litter,NOUN,B2,,,
living,NOUN,B2,,,
load,VERB,B2,,,
loan,NOUN,B2,Travel and services vocab,,Services
lobby,NOUN,B2,,,"House and home, environment"
loneliness,NOUN,B2,,,
long-distance,ADJ,B2,,,
long-term,ADJ,B2,,,
loosely,ADV,B2,,,
lousy,ADJ,B2,,,
lower,VERB,B2,,,
lowland,NOUN,B2,,,
lucrative,ADJ,B2,,,
lush,ADJ,B2,,,
luxurious,ADJ,B2,,,
luxury,ADJ,B2,,,
lyrics,NOUN,B2,,,
madam,NOUN,B2,,,Personal identification
madame,NOUN,B2,,,
madness,NOUN,B2,,,
maestro,NOUN,B2,Arts,,Personal identification
magnify,VERB,B2,,,
major,NOUN,B2,,,
make,NOUN,B2,,,
malady,NOUN,B2,,,
malaria,NOUN,B2,Travel and services vocab,,Health and body care
mama/mamma,NOUN,B2,Family life,,Personal identification
mango,NOUN,B2,Food and drink,,Food and drink
manipulate,VERB,B2,,,
mansion,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
manual,ADJ,B2,,,
manual,NOUN,B2,Objects and rooms,,
manufacture,NOUN,B2,Work and jobs,,
manufacture,VERB,B2,,,
manufacturer,NOUN,B2,Work and jobs,,Personal identification
manufacturing,NOUN,B2,,,
marathon,NOUN,B2,,,
margin,NOUN,B2,,,
marketing,NOUN,B2,,,
martial art,NOUN,B2,,,
mask,NOUN,B2,,,Shopping
mass,NOUN,B2,,,
massacre,NOUN,B2,"News, lifestyles and current affairs",,Relations with other people
massage,NOUN,B2,,,
masseur,NOUN,B2,Work and jobs,,Personal identification
master,NOUN,B2,,,Personal identification
masterpiece,NOUN,B2,Arts,,
mastery,NOUN,B2,,,
mate,NOUN,B2,Personal information,,Relations with other people
mathematical,ADJ,B2,,,
mature,ADJ,B2,,,
mausoleum,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
mean,NOUN,B2,,,
means,NOUN,B2,,,
mechanize/mechanise,VERB,B2,,,
media,NOUN,B2,,,
medication,NOUN,B2,,,
medieval/mediaeval,ADJ,B2,,,
mediocre,ADJ,B2,,,
melody,NOUN,B2,Arts,,"Free time, entertainment"
memorial,NOUN,B2,,,
mentor,NOUN,B2,,,
merchandise,NOUN,B2,Shopping,,Shopping
mercy,NOUN,B2,,,
merge,VERB,B2,,,
merger,NOUN,B2,,,
mess,VERB,B2,,,
messenger,NOUN,B2,Work and jobs,,Personal identification
metaphor,NOUN,B2,Education,,
metric,ADJ,B2,,,
micro,NOUN,B2,Clothes,,
microbe,NOUN,B2,,,
microcomputer,NOUN,B2,Objects and rooms,,Shopping
micrometer/micrometre,NOUN,B2,,,
microorganism,NOUN,B2,,,
microphone,NOUN,B2,,,
microscope,NOUN,B2,Education,,
microscopic,ADJ,B2,,,
microscopy,NOUN,B2,,,
microwave,NOUN,B2,,,
midst,NOUN,B2,,,
mighty,ADJ,B2,,,
migration,NOUN,B2,,,
mill,NOUN,B2,,,
millimeter/millimetre,NOUN,B2,,,
millionaire,NOUN,B2,"News, lifestyles and current affairs",,
mimic,NOUN,B2,,,
mine,NOUN,B2,"News, lifestyles and current affairs",,
miniature,ADJ,B2,,,
minister,NOUN,B2,"News, lifestyles and current affairs",Work and jobs,
mint,NOUN,B2,,,Food and drink
misconception,NOUN,B2,,,
misfortune,NOUN,B2,,,
misleading,ADJ,B2,,,
missile,NOUN,B2,"News, lifestyles and current affairs",,
mist,NOUN,B2,,,Weather
mistreat,VERB,B2,,,
mistrustful,ADJ,B2,,,
misunderstand,VERB,B2,,,
mix,NOUN,B2,,,
mixture,NOUN,B2,,,
mobility,NOUN,B2,,,
mock,ADJ,B2,,,
modernization/modernisation,NOUN,B2,,,
modernize/modernise,VERB,B2,,,
modest,ADJ,B2,,,
modification,NOUN,B2,,,
mogul,NOUN,B2,,,
mold/mould,NOUN,B2,,,
momentarily,ADV,B2,,,
momentary,ADJ,B2,,,
monastery,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
moody,ADJ,B2,,,
moonlight,NOUN,B2,,,
moonscape,NOUN,B2,,,
moral,ADJ,B2,,,
morality,NOUN,B2,,,
morally,ADV,B2,,,
mortal,ADJ,B2,,,
mortar,NOUN,B2,,,
mortgage,NOUN,B2,,,
mortify,VERB,B2,,,
mother-in-law,NOUN,B2,,,Personal identification
motion,NOUN,B2,,,
motivated,ADJ,B2,,,
motorbike,NOUN,B2,Ways of travelling,,Travel
motorist,NOUN,B2,,,Personal identification
mount,VERB,B2,,,
mournful,ADJ,B2,,,
mover,NOUN,B2,,,
moving,ADJ,B2,,,
muddy,ADJ,B2,,,
multiple,ADJ,B2,,,
multiply,VERB,B2,,,
mumble,NOUN,B2,,,
mumble,VERB,B2,,,
murmur,NOUN,B2,,,
muse,VERB,B2,,,
musical,NOUN,B2,,,
mustache/moustache,NOUN,B2,,,
mutability,NOUN,B2,,,
mutable,ADJ,B2,,,
mutter,NOUN,B2,,,
mutter,VERB,B2,,,
mutton,NOUN,B2,Food and drink,,Food and drink
mystify,VERB,B2,,,
nano,NOUN,B2,,,
narcissistic,ADJ,B2,,,
narrator,NOUN,B2,Work and jobs,Media,Personal identification
narrowly,ADV,B2,,,
nationwide,ADJ,B2,,,
nationwide,ADV,B2,,,
native speaker,NOUN,B2,,,Personal identification
naughty,ADJ,B2,,,
naval,ADJ,B2,,,
navigate,VERB,B2,,,
navigation,NOUN,B2,,,
navy,NOUN,B2,"News, lifestyles and current affairs",,Personal identification
neat,ADJ,B2,,,
necessarily,ADV,B2,,,
necessity,NOUN,B2,,,
need,NOUN,B2,,,
needless,ADJ,B2,,,
needy,ADJ,B2,,,
negatively,ADV,B2,,,
neglect,NOUN,B2,,,
neighboring/neighbouring,ADJ,B2,,,
neither,ADV,B2,,,
neither,conjunction,B2,,,
neither,DET,B2,,,
neither,PRON,B2,,,
nerve,NOUN,B2,Travel and services vocab,,Health and body care
nerves,NOUN,B2,,,
nervously,ADV,B2,,,
netsurfer/net surfer,NOUN,B2,Media,,"Free time, entertainment"
neurosis,NOUN,B2,Travel and services vocab,,Health and body care
newscaster,NOUN,B2,Media,,Personal identification
newsworthy,ADJ,B2,,,
next,PRON,B2,,,
nicely,ADV,B2,,,
nightclub,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
nightmare,NOUN,B2,,,
nobility,NOUN,B2,,,
noble,ADJ,B2,,,
nobleman,NOUN,B2,,,
nod,VERB,B2,,,
nomad,NOUN,B2,,,
nomination,NOUN,B2,,,
nominee,NOUN,B2,,,
nonprofessional,ADJ,B2,,,
non-smoking,ADJ,B2,,,
northward/northwards,ADV,B2,,,
nostril,NOUN,B2,,,
nought,NOUN,B2,,,
nourish,VERB,B2,,,
nourishment,NOUN,B2,Food and drink,,Food and drink
novelty,NOUN,B2,,,
now,conjunction,B2,,,
nuisance,NOUN,B2,,,
numerical,ADJ,B2,,,
nursery,NOUN,B2,,,
nut,NOUN,B2,,,Food and drink
nutshell,NOUN,B2,Food and drink,,Food and drink
oath,NOUN,B2,,,
obedience,NOUN,B2,,,
obedient,ADJ,B2,,,
obey,VERB,B2,,,
obituary,NOUN,B2,"News, lifestyles and current affairs",,
object,VERB,B2,,,
objective,ADJ,B2,,,
obligation,NOUN,B2,,,
observer,NOUN,B2,,,
obsess,VERB,B2,,,
obsession,NOUN,B2,,,
obsessive,ADJ,B2,,,
odd,ADJ,B2,,,
offend,VERB,B2,,,
offender,NOUN,B2,,,
offense/offence,NOUN,B2,,,
offhand,ADV,B2,,,
official,NOUN,B2,Work and jobs,,Personal identification
offshore,ADJ,B2,,,
ointment,NOUN,B2,,,
olive,NOUN,B2,,,
Olympia,NOUN,B2,,,
Olympiad,NOUN,B2,,,
once,conjunction,B2,,,
openly,ADV,B2,,,
operator,NOUN,B2,,,Personal identification
opponent,NOUN,B2,,,
optimism,NOUN,B2,,,
optimist,NOUN,B2,,,
optimistic,ADJ,B2,,,
optional,ADJ,B2,,,
oral,ADJ,B2,,,
orator,NOUN,B2,Work and jobs,,Personal identification
orchestral,ADJ,B2,,,
orchid,NOUN,B2,,,
organizer/organiser,NOUN,B2,,,
original,NOUN,B2,,,
originality,NOUN,B2,,,
originally,ADV,B2,,,
originate,VERB,B2,,,
ornament,NOUN,B2,Objects and rooms,,
ounce,NOUN,B2,,,
outback,NOUN,B2,,,
outbreak,NOUN,B2,,,
outcome,NOUN,B2,,,
outdistance,VERB,B2,,,
outdo,VERB,B2,,,
outfit,NOUN,B2,Objects and rooms,,
outgrow,VERB,B2,,,
outing,NOUN,B2,Travel and services vocab,,"Free time, entertainment"
outlet,NOUN,B2,,,
outline,NOUN,B2,,,
outlive,VERB,B2,,,
outlook,NOUN,B2,,,
outpatient,NOUN,B2,Travel and services vocab,,Health and body care
output,NOUN,B2,,,
outrage,NOUN,B2,"News, lifestyles and current affairs",,
outrageous,ADJ,B2,,,
outshine,VERB,B2,,,
outside,ADJ,B2,,,
outside,NOUN,B2,,,
outsider,NOUN,B2,,,
outskirts,NOUN,B2,,,"House and home, environment"
outwardly,ADV,B2,,,
oval,ADJ,B2,,,
overall,ADJ,B2,,,
overall,ADV,B2,,,
overboard,ADV,B2,,,
overbook,VERB,B2,,,
overcoat,NOUN,B2,Clothes,,Shopping
overemphasize/overemphasise,VERB,B2,,,
overestimate,VERB,B2,,,
overhear,VERB,B2,,,
overlap,NOUN,B2,,,
overlook,VERB,B2,,,
overly,ADV,B2,,,
overseas,ADJ,B2,,,
overshadow,VERB,B2,,,
oversize,ADJ,B2,,,
overstep,VERB,B2,,,
